index,sample_id,label,attack,score_clean,prior_clean,energy_clean,score_adv,prior_adv,energy_adv,delta_score,delta_energy
0,airplane_0627,0,ifgm_pointnet,186003.078125,1409.1197509765625,-184593.953125,183999.546875,1409.637939453125,-182589.90625,-2003.53125,2004.046875
1,airplane_0628,0,ifgm_pointnet,186863.5625,1443.452392578125,-185420.109375,184286.140625,1438.999755859375,-182847.140625,-2577.421875,2572.96875
2,airplane_0629,0,ifgm_pointnet,176684.90625,1413.578125,-175271.328125,175233.421875,1407.38232421875,-173826.046875,-1451.484375,1445.28125
3,airplane_0630,0,ifgm_pointnet,193840.8125,1497.4056396484375,-192343.40625,192223.359375,1498.4046630859375,-190724.953125,-1617.453125,1618.453125
4,airplane_0631,0,ifgm_pointnet,167766.390625,1379.2630615234375,-166387.125,166718.390625,1373.4173583984375,-165344.96875,-1048.0,1042.15625
5,airplane_0632,0,ifgm_pointnet,191890.703125,1653.9273681640625,-190236.78125,190147.375,1651.23095703125,-188496.140625,-1743.328125,1740.640625
6,airplane_0633,0,ifgm_pointnet,193261.828125,1585.614013671875,-191676.21875,191239.65625,1582.6090087890625,-189657.046875,-2022.171875,2019.171875
7,airplane_0634,0,ifgm_pointnet,191328.328125,1308.9100341796875,-190019.421875,190108.96875,1310.95458984375,-188798.015625,-1219.359375,1221.40625
8,airplane_0635,0,ifgm_pointnet,191883.953125,1477.38134765625,-190406.578125,189764.421875,1483.0172119140625,-188281.40625,-2119.53125,2125.171875
9,airplane_0636,0,ifgm_pointnet,193644.90625,1315.33740234375,-192329.5625,192062.9375,1316.6998291015625,-190746.234375,-1581.96875,1583.328125
10,airplane_0637,0,ifgm_pointnet,184173.15625,1592.5076904296875,-182580.65625,182401.671875,1594.3922119140625,-180807.28125,-1771.484375,1773.375
11,airplane_0638,0,ifgm_pointnet,181238.71875,1276.9576416015625,-179961.765625,179565.359375,1278.603759765625,-178286.75,-1673.359375,1675.015625
12,airplane_0639,0,ifgm_pointnet,182168.328125,1343.605224609375,-180824.71875,180650.34375,1345.3994140625,-179304.9375,-1517.984375,1519.78125
13,airplane_0640,0,ifgm_pointnet,193585.28125,1542.804443359375,-192042.484375,191071.46875,1546.610107421875,-189524.859375,-2513.8125,2517.625
14,airplane_0641,0,ifgm_pointnet,181063.859375,1516.45703125,-179547.40625,179035.625,1513.86181640625,-177521.765625,-2028.234375,2025.640625
15,airplane_0642,0,ifgm_pointnet,195320.46875,1425.6812744140625,-193894.78125,193772.90625,1422.7593994140625,-192350.140625,-1547.5625,1544.640625
16,airplane_0643,0,ifgm_pointnet,192920.609375,1548.749755859375,-191371.859375,191413.46875,1537.923583984375,-189875.546875,-1507.140625,1496.3125
17,airplane_0644,0,ifgm_pointnet,192429.46875,1472.5738525390625,-190956.890625,190622.625,1473.56591796875,-189149.0625,-1806.84375,1807.828125
18,airplane_0645,0,ifgm_pointnet,177919.34375,1289.3118896484375,-176630.03125,176539.4375,1286.9212646484375,-175252.515625,-1379.90625,1377.515625
19,airplane_0646,0,ifgm_pointnet,190122.4375,1311.7677001953125,-188810.671875,187691.890625,1308.2467041015625,-186383.640625,-2430.546875,2427.03125
20,airplane_0647,0,ifgm_pointnet,178580.40625,1505.314697265625,-177075.09375,177748.96875,1503.179931640625,-176245.78125,-831.4375,829.3125
21,airplane_0648,0,ifgm_pointnet,193705.03125,1495.61865234375,-192209.40625,192136.5,1494.502685546875,-190642.0,-1568.53125,1567.40625
22,airplane_0649,0,ifgm_pointnet,167259.59375,1823.2862548828125,-165436.3125,166745.578125,1826.46337890625,-164919.109375,-514.015625,517.203125
23,airplane_0650,0,ifgm_pointnet,193048.25,1532.24560546875,-191516.0,190931.3125,1533.2825927734375,-189398.03125,-2116.9375,2117.96875
24,airplane_0651,0,ifgm_pointnet,191060.640625,1427.2314453125,-189633.40625,188655.421875,1415.9775390625,-187239.4375,-2405.21875,2393.96875
25,airplane_0652,0,ifgm_pointnet,186268.171875,1338.6422119140625,-184929.53125,184456.125,1339.196044921875,-183116.921875,-1812.046875,1812.609375
26,airplane_0653,0,ifgm_pointnet,195238.109375,1420.8934326171875,-193817.21875,193575.546875,1418.1304931640625,-192157.421875,-1662.5625,1659.796875
27,airplane_0654,0,ifgm_pointnet,194589.921875,1429.53369140625,-193160.390625,193314.125,1424.844970703125,-191889.28125,-1275.796875,1271.109375
28,airplane_0655,0,ifgm_pointnet,194369.4375,1536.1474609375,-192833.296875,193840.8125,1525.7813720703125,-192315.03125,-528.625,518.265625
29,airplane_0656,0,ifgm_pointnet,171489.15625,1509.930908203125,-169979.21875,170965.984375,1508.3153076171875,-169457.671875,-523.171875,521.546875
30,airplane_0657,0,ifgm_pointnet,158898.671875,747.01806640625,-158151.65625,158447.328125,747.5765991210938,-157699.75,-451.34375,451.90625
31,airplane_0658,0,ifgm_pointnet,174531.328125,1393.2808837890625,-173138.046875,173460.03125,1392.2152099609375,-172067.8125,-1071.296875,1070.234375
32,airplane_0659,0,ifgm_pointnet,185965.3125,1558.696044921875,-184406.609375,183324.703125,1560.1654052734375,-181764.53125,-2640.609375,2642.078125
33,airplane_0660,0,ifgm_pointnet,184491.171875,1476.7208251953125,-183014.453125,182439.703125,1473.77587890625,-180965.921875,-2051.46875,2048.53125
34,airplane_0661,0,ifgm_pointnet,168400.15625,1540.1595458984375,-166860.0,167766.390625,1538.25927734375,-166228.125,-633.765625,631.875
35,airplane_0662,0,ifgm_pointnet,149444.03125,1619.4769287109375,-147824.546875,149298.78125,1619.38232421875,-147679.40625,-145.25,145.140625
36,airplane_0663,0,ifgm_pointnet,195579.171875,1377.9237060546875,-194201.25,193482.796875,1389.0487060546875,-192093.75,-2096.375,2107.5
37,airplane_0664,0,ifgm_pointnet,186481.5625,1406.6270751953125,-185074.9375,184242.265625,1405.48095703125,-182836.78125,-2239.296875,2238.15625
38,airplane_0665,0,ifgm_pointnet,186123.5625,1395.67626953125,-184727.890625,184546.21875,1396.583984375,-183149.640625,-1577.34375,1578.25
39,airplane_0666,0,ifgm_pointnet,194962.46875,1570.543701171875,-193391.921875,194198.8125,1571.14501953125,-192627.671875,-763.65625,764.25
40,airplane_0667,0,ifgm_pointnet,193493.109375,1526.807373046875,-191966.296875,190666.25,1518.82958984375,-189147.421875,-2826.859375,2818.875
41,airplane_0668,0,ifgm_pointnet,193303.8125,1515.6817626953125,-191788.125,191370.28125,1512.1470947265625,-189858.140625,-1933.53125,1929.984375
42,airplane_0669,0,ifgm_pointnet,182692.796875,1201.8262939453125,-181490.96875,178751.109375,1201.7994384765625,-177549.3125,-3941.6875,3941.65625
43,airplane_0670,0,ifgm_pointnet,178882.0,1712.5860595703125,-177169.40625,177699.59375,1713.3179931640625,-175986.28125,-1182.40625,1183.125
44,airplane_0671,0,ifgm_pointnet,191183.75,1519.36669921875,-189664.390625,189659.734375,1517.5936279296875,-188142.140625,-1524.015625,1522.25
45,airplane_0672,0,ifgm_pointnet,193575.546875,1489.7940673828125,-192085.75,192101.625,1488.196044921875,-190613.421875,-1473.921875,1472.328125
46,airplane_0673,0,ifgm_pointnet,186601.015625,1362.5496826171875,-185238.46875,185777.78125,1360.42724609375,-184417.359375,-823.234375,821.109375
47,airplane_0674,0,ifgm_pointnet,180467.578125,1554.850830078125,-178912.734375,179219.171875,1556.7012939453125,-177662.46875,-1248.40625,1250.265625
48,airplane_0675,0,ifgm_pointnet,178751.109375,1098.1881103515625,-177652.921875,175726.640625,1102.9764404296875,-174623.671875,-3024.46875,3029.25
49,airplane_0676,0,ifgm_pointnet,192280.640625,1509.427490234375,-190771.21875,190344.625,1505.3238525390625,-188839.296875,-1936.015625,1931.921875
50,airplane_0677,0,ifgm_pointnet,190296.265625,1497.068603515625,-188799.203125,189480.734375,1503.8665771484375,-187976.875,-815.53125,822.328125
51,airplane_0678,0,ifgm_pointnet,190654.265625,1540.1956787109375,-189114.0625,188681.328125,1544.578125,-187136.75,-1972.9375,1977.3125
52,airplane_0679,0,ifgm_pointnet,182592.328125,986.3178100585938,-181606.015625,180543.9375,988.9130859375,-179555.03125,-2048.390625,2050.984375
53,airplane_0680,0,ifgm_pointnet,172265.640625,1548.852294921875,-170716.78125,171365.640625,1550.655029296875,-169814.984375,-900.0,901.796875
54,airplane_0681,0,ifgm_pointnet,189523.296875,1551.67822265625,-187971.625,186558.421875,1547.8538818359375,-185010.5625,-2964.875,2961.0625
55,airplane_0682,0,ifgm_pointnet,181778.828125,1498.0052490234375,-180280.828125,179837.859375,1500.7723388671875,-178337.09375,-1940.96875,1943.734375
56,airplane_0683,0,ifgm_pointnet,170783.46875,1566.613037109375,-169216.859375,169145.53125,1567.9205322265625,-167577.609375,-1637.9375,1639.25
57,airplane_0684,0,ifgm_pointnet,195085.453125,1508.9693603515625,-193576.484375,193145.484375,1506.9185791015625,-191638.5625,-1939.96875,1937.921875
58,airplane_0685,0,ifgm_pointnet,195460.8125,1468.143310546875,-193992.671875,194045.921875,1470.1256103515625,-192575.796875,-1414.890625,1416.875
59,airplane_0686,0,ifgm_pointnet,188029.609375,622.7127075195312,-187406.890625,186617.859375,626.79443359375,-185991.0625,-1411.75,1415.828125
60,airplane_0687,0,ifgm_pointnet,193585.28125,1610.955078125,-191974.328125,191489.875,1605.162109375,-189884.71875,-2095.40625,2089.609375
61,airplane_0688,0,ifgm_pointnet,193653.3125,1509.0433349609375,-192144.265625,192570.984375,1503.13525390625,-191067.84375,-1082.328125,1076.421875
62,airplane_0689,0,ifgm_pointnet,194556.828125,1458.816162109375,-193098.015625,192896.609375,1461.2198486328125,-191435.390625,-1660.21875,1662.625
63,airplane_0690,0,ifgm_pointnet,190871.90625,1512.3585205078125,-189359.546875,188581.71875,1513.8031005859375,-187067.921875,-2290.1875,2291.625
64,airplane_0691,0,ifgm_pointnet,191314.0625,1616.201416015625,-189697.859375,188943.71875,1618.189453125,-187325.53125,-2370.34375,2372.328125
65,airplane_0692,0,ifgm_pointnet,193772.90625,1495.84716796875,-192277.0625,192450.5625,1494.7589111328125,-190955.796875,-1322.34375,1321.265625
66,airplane_0693,0,ifgm_pointnet,192332.234375,1470.1224365234375,-190862.109375,190505.390625,1464.9691162109375,-189040.421875,-1826.84375,1821.6875
67,airplane_0694,0,ifgm_pointnet,193672.140625,1643.23046875,-192028.90625,192987.59375,1641.58251953125,-191346.015625,-684.546875,682.890625
68,airplane_0695,0,ifgm_pointnet,191183.75,1551.444091796875,-189632.3125,189741.875,1557.031005859375,-188184.84375,-1441.875,1447.46875
69,airplane_0696,0,ifgm_pointnet,195085.453125,1554.1566162109375,-193531.296875,193235.90625,1541.9183349609375,-191693.984375,-1849.546875,1837.3125
70,airplane_0697,0,ifgm_pointnet,192129.484375,1284.7427978515625,-190844.734375,190773.609375,1286.7015380859375,-189486.90625,-1355.875,1357.828125
71,airplane_0698,0,ifgm_pointnet,192608.484375,1389.0771484375,-191219.40625,191050.90625,1378.85595703125,-189672.046875,-1557.578125,1547.359375
72,airplane_0699,0,ifgm_pointnet,191191.28125,1664.3604736328125,-189526.921875,189114.21875,1662.828125,-187451.390625,-2077.0625,2075.53125
73,airplane_0700,0,ifgm_pointnet,190833.28125,1334.680419921875,-189498.59375,187586.578125,1335.3250732421875,-186251.25,-3246.703125,3247.34375
74,airplane_0701,0,ifgm_pointnet,192758.265625,1492.926025390625,-191265.34375,190961.25,1488.555908203125,-189472.6875,-1797.015625,1792.65625
75,airplane_0702,0,ifgm_pointnet,180369.8125,1560.496337890625,-178809.3125,179350.265625,1553.2528076171875,-177797.015625,-1019.546875,1012.296875
76,airplane_0703,0,ifgm_pointnet,188402.734375,1356.2421875,-187046.5,186629.9375,1356.02099609375,-185273.921875,-1772.796875,1772.578125
77,airplane_0704,0,ifgm_pointnet,195281.8125,1528.063720703125,-193753.75,193644.90625,1532.6351318359375,-192112.265625,-1636.90625,1641.484375
78,airplane_0705,0,ifgm_pointnet,179973.390625,1506.3936767578125,-178467.0,178933.875,1497.778076171875,-177436.09375,-1039.515625,1030.90625
79,airplane_0706,0,ifgm_pointnet,151551.59375,1449.860595703125,-150101.734375,151462.09375,1449.892822265625,-150012.203125,-89.5,89.53125
80,airplane_0707,0,ifgm_pointnet,194755.109375,1480.568359375,-193274.546875,193840.8125,1483.396484375,-192357.421875,-914.296875,917.125
81,airplane_0708,0,ifgm_pointnet,191305.65625,1511.3748779296875,-189794.28125,188979.265625,1513.79833984375,-187465.46875,-2326.390625,2328.8125
82,airplane_0709,0,ifgm_pointnet,185548.375,1359.4398193359375,-184188.9375,184178.5625,1362.59619140625,-182815.96875,-1369.8125,1372.96875
83,airplane_0710,0,ifgm_pointnet,191473.53125,1566.1888427734375,-189907.34375,189620.09375,1564.3709716796875,-188055.71875,-1853.4375,1851.625
84,airplane_0711,0,ifgm_pointnet,193644.90625,1483.122314453125,-192161.78125,192280.640625,1484.384765625,-190796.25,-1364.265625,1365.53125
85,airplane_0712,0,ifgm_pointnet,185598.796875,1391.01220703125,-184207.78125,184473.796875,1395.4952392578125,-183078.296875,-1125.0,1129.484375
86,airplane_0713,0,ifgm_pointnet,194274.421875,1436.3465576171875,-192838.078125,191686.34375,1420.736328125,-190265.609375,-2588.078125,2572.46875
